WELCOME TO MONOPOLY BANK;BIENVENIDO AL MONOPOLY BANK
Available languages:;Lenguajes disponibles:
Enter the language you want to use:;Introduzca el lenguaje que desea utilizar:
Invalid value, enter another:;Valor inválido, introduzca otro:
Do you want to resume a game? (%s/%s);¿Quieres reanudar una partida? (%s/%s)
Which game do you want to resume? (%d to cancel);¿Qué juego quieres reanudar? (%d para cancelar)
Enter the file name: / (%s to exit);Introduce el nombre del fichero: / (%s para salir)
Error, the file is corrupt or invalid, creating new game...;Error, el fichero es corrupto o inválido, creando nueva partida...
spanish;spanish
english;english
catalan;catalan
euskera;basque
gallego;galician
---No files available---;---No hay ficheros disponibles---
The file doesn't exist, enter another name: / (%s to exit);El fichero no existe, introduce otro nombre: / (%s para salir)
The operation has been canceled...;La operación ha sido cancelada...
File found...;Fichero encontrado...
Available files:;Ficheros disponibles:
Creating new game...;Creando nueva partida...
Loading saved game...;Cargando partida guardada...
Playing...;Jugando...
Error!!;Error!!
Enter the number of players (2-%d):;Introduce el número de jugadores (2-%d):
Incorrect number of players;Número de jugadores incorrecto
Enter the name of the player ;Introduce el nombre del jugador 
Player %s (%s) >> Budget: %d;Jugador %s (%s) >> Presupuesto: %d
---[ Players ]---;---[ Jugadores ]---
---[ Properties ]---;---[ Propiedades ]---
---[ Summary ]---;---[ Resumen ]---
Starting operation...;Comenzando operación...
Loading game data...;Cargando datos del juego...
Data loaded correctly;Datos cargados correctamente
Enter a valid number;Introduce un número valido
Enter card code:;Introduzca código de tarjeta:
Enter player ID ( ;Introduzca código de jugador ( 
Do you want to exit and save the game? (%s/%s);¿Desea salir y guardar el juego? (%s/%s)
Game Over >> %s is the winner!!;Fin del juego >> %s es el ganador!!
Payment made;Pago efectuado
Try again when you have more money;Vuelve a intentarlo cuando tengas más dinero
Do you want to pay %d? (%s/%s);Desea pagar %d? (%s/%s)
Enter desired property to operate:;Introduzca la propiedad que desea operar:
%s's properties:;Propiedades de %s:
Property not found;Propiedad no encontrada
Sell properties;Vende propiedades
New balance: %d;Nuevo presupuesto: %d
Payment hasn't been made;No se ha realizado el pago
The player %s has gone bankrupt;El jugador %s ha quebrado
This property doesn't belong to you;La propiedad no es tuya
Error while trying to save the file;Error al guardar el archivo
Invalid code;Código inválido
Invalid ID;ID inválido
Invalid Option;Opción inválida
Enter CONTINUE;Introduce CONTINUAR
Player %s (%s) Budget: %d;Jugador %s (%s) Presupuesto: %d
The game has been saved in the file %s;El juego ha sido guardado en el fichero %s
Enter an option:;Introduzca una opción:
Continue playing;Continuar jugando
Show summary;Mostrar resumen
Change language;Cambiar idioma
Save and exit;Guardar y salir
New balance: %d;Nuevo presupuesto: %d
Do you want to buy the property: %s for %d? (%s/%s);Quieres comprar la propiedad: %s por %d? (%s/%s)
You have landed on the property: %s, you must pay %d;Has caído en la propiedad: %s, debes pagar %d
This property doesn't belong to you;La propiedad no es tuya
Buy house;Comprar casa
Sell house;Vender casa
Mortgage;Hipotecar
Unmortgage;Deshipotecar
Cancel;Cancelar
Do you want to make the operation? (%s/%s);¿Desea realizar la operación? (%s/%s)
What do you want to do with the property: %s?;¿Qué desea hacer con la propiedad: %s?
The property already has the maximum number of houses;La propiedad ya tiene el máximo de casas
The property is mortgaged;La propiedad está hipotecada
The property has houses, you must sell them first;La propiedad tiene casas, debes venderlas primero
You don't have enough money;No tienes suficiente dinero
The property doesn't have any houses;La propiedad no tiene casas
The property is already mortgaged;La propiedad ya está hipotecada
The property isn't mortgaged;La propiedad no está hipotecada
House sold, you receive %d;Casa vendida, recibes %d
Property mortgaged, you receive %d;Propiedad hipotecada, recibes %d
Property unmortgaged;Propiedad deshipotecada
House bought;Casa comprada
The file %d doesn't exist, try again: / (%d to exit);El fichero %d no existe, prueba de nuevo: / (%d para salir)
You have landed on the property: %s, but it's mortgaged, you don't pay anything;Has caído en la propiedad: %s, pero está hipotecada, no pagas nada
You have landed on the property: %s;Has caído en la propiedad: %s
You must pay %d;Debes pagar %d
Enter the number of the dice:;Introduce el número de los dados: 
There are no properties left to operate;No quedan propiedades que operar
  - Buildings: %d;  - Casas: %d
  - Mortgaged: %s;  - Hipotecada: %s
Mortgaged;Hipotecada
Unmortgaged;Deshipotecada
Property status: %s >> %s;Estado de la propiedad: %s >> %s
Yes;Sí
No;No
Player %s has paid %d;El jugador %s ha pagado %d
Player %s has received %d;El jugador %s ha recibido %d
The properties have been transferred to the bank;Las propiedades han sido transferidas al banco
The properties have been transferred to player %s;Las propiedades han sido transferidas al jugador %s
You don't have enough money to pay;No tienes suficiente dinero para pagar
Select the property you want to act on [ID]:;Selecciona la propiedad sobre la que quieres actuar [ID]:
RED;Rojo
BLUE;Azul
GREEN;Verde
BLACK;Negro
